owner_id,name_en,name_ar,description_en,description_ar,address,city,phone,email,rating,image_url
1,Glamour & Grace,جلامور وجريس,"Luxury salon offering premium beauty services","صالون فاخر يقدم خدمات تجميل متميزة","123 Beauty Street, Downtown","Dubai","+971501234567","glamour@example.com",5,"https://images.unsplash.com/photo-1600948836101-f9ffda59d250?auto=format&fit=crop&q=80"
1,Elite Beauty Lounge,صالون النخبة,"High-end beauty treatments and services","علاجات وخدمات تجميل راقية","456 Fashion Avenue","Abu Dhabi","+971502345678","elite@example.com",4,"https://images.unsplash.com/photo-1522335789203-aabd1fc54bc9?auto=format&fit=crop&q=80"
1,Royal Spa & Salon,الصالون الملكي,"Premium spa and beauty services","خدمات سبا وتجميل فاخرة","789 Luxury Lane","Sharjah","+971503456789","royal@example.com",5,"https://images.unsplash.com/photo-1633681926022-84c23e8cb2d6?auto=format&fit=crop&q=80"
1,Serenity Beauty Center,مركز السكينة,"Relaxing atmosphere with expert beauticians","أجواء مريحة مع خبراء تجميل","321 Calm Court","Dubai","+971504567890","serenity@example.com",4,"https://images.unsplash.com/photo-1560750588-73207b1ef5b8?auto=format&fit=crop&q=80"
1,Modern Cuts & Colors,قصات وألوان عصرية,"Contemporary hair styling and coloring","تصفيف وصبغ شعر عصري","654 Style Street","Abu Dhabi","+971505678901","modern@example.com",4,"https://images.unsplash.com/photo-1600948836654-e0c024d4dfb5?auto=format&fit=crop&q=80"
1,Zen Beauty Retreat,ملاذ الجمال زن,"Holistic beauty treatments","علاجات تجميل شاملة","987 Peace Place","Sharjah","+971506789012","zen@example.com",5,"https://images.unsplash.com/photo-1632345031435-8727f6897d53?auto=format&fit=crop&q=80"
1,Chic & Shine,شيك آند شاين,"Trendy salon with latest beauty techniques","صالون عصري بأحدث تقنيات التجميل","147 Fashion Boulevard","Dubai","+971507890123","chic@example.com",4,"https://images.unsplash.com/photo-1600948836673-c1f82dcafb3b?auto=format&fit=crop&q=80"
1,Pure Bliss Salon,صالون النعيم,"Relaxation and beauty in one place","الراحة والجمال في مكان واحد","258 Harmony Road","Abu Dhabi","+971508901234","bliss@example.com",5,"https://images.unsplash.com/photo-1632345031163-2431447e5283?auto=format&fit=crop&q=80"
1,Elegance Studio,ستوديو الأناقة,"Sophisticated beauty treatments","علاجات تجميل راقية","369 Grace Gardens","Sharjah","+971509012345","elegance@example.com",4,"https://images.unsplash.com/photo-1600948836789-e1c0f9578ef1?auto=format&fit=crop&q=80"
1,Beauty Haven,ملاذ الجمال,"Your destination for all beauty needs","وجهتك لجميع احتياجات الجمال","741 Paradise Lane","Dubai","+971509876543","haven@example.com",5,"https://images.unsplash.com/photo-1632345031163-2431447e5283?auto=format&fit=crop&q=80"
