salon_id,name_en,name_ar,description_en,description_ar,price,duration,category
2,Haircut & Styling,قص وتصفيف الشعر,"Professional haircut and styling","قص وتصفيف شعر احترافي",150,60,"hair"
2,Hair Coloring,صبغ الشعر,"Premium hair coloring service","خدمة صبغ شعر متميزة",300,120,"hair"
2,Facial Treatment,علاج البشرة,"Deep cleansing facial","تنظيف عميق للبشرة",200,60,"skin"
3,Manicure & Pedicure,مانيكير وباديكير,"Luxury nail care treatment","علاج فاخر للأظافر",120,60,"nails"
3,Body Massage,مساج الجسم,"Relaxing full body massage","مساج مريح لكامل الجسم",250,90,"spa"
3,Hair Spa,سبا الشعر,"Nourishing hair treatment","علاج مغذي للشعر",180,45,"hair"
4,Bridal Package,باقة العروس,"Complete bridal beauty package","باقة تجميل كاملة للعروس",1500,240,"bridal"
4,Makeup Session,جلسة مكياج,"Professional makeup application","وضع مكياج احترافي",200,60,"makeup"
4,Waxing Service,خدمة الشمع,"Full body waxing","إزالة الشعر بالشمع",180,90,"hair-removal"
5,Eyelash Extensions,تركيب رموش,"Premium eyelash extensions","تركيب رموش فاخرة",250,90,"lashes"
5,Eyebrow Threading,تشقير الحواجب,"Eyebrow shaping and tinting","تشكيل وصبغ الحواجب",80,30,"brows"
5,Anti-Aging Facial,علاج مكافحة الشيخوخة,"Advanced anti-aging treatment","علاج متقدم لمكافحة علامات التقدم في السن",350,90,"skin"
6,Hair Straightening,فرد الشعر,"Professional hair straightening","فرد شعر احترافي",400,180,"hair"
6,Hair Extensions,وصلات شعر,"Premium hair extensions","وصلات شعر فاخرة",800,180,"hair"
6,Scalp Treatment,علاج فروة الرأس,"Deep scalp cleansing and treatment","تنظيف وعلاج عميق لفروة الرأس",150,45,"hair"
7,Hot Stone Massage,مساج بالأحجار الساخنة,"Relaxing hot stone therapy","علاج مريح بالأحجار الساخنة",300,90,"spa"
7,Aromatherapy,العلاج بالعطور,"Therapeutic aromatherapy massage","مساج علاجي بالزيوت العطرية",280,90,"spa"
7,Body Scrub,تقشير الجسم,"Full body exfoliation treatment","علاج تقشير كامل للجسم",200,60,"spa"
8,Gel Manicure,مانيكير جل,"Long-lasting gel nail polish","طلاء أظافر جل طويل الأمد",100,45,"nails"
8,Nail Art,فن الأظافر,"Creative nail art designs","تصاميم فنية للأظافر",80,30,"nails"
8,Foot Spa,سبا القدمين,"Luxury foot treatment","علاج فاخر للقدمين",120,45,"spa"
